product_name,product_model,spec_name,spec_value,spec_unit,price
Hydraulic Shearing,AHM-825,Cutting Capacity SS,10,mm,3300000
Hydraulic Shearing,AHM-825,Stroke/Minute,2-1.3,SPM,3300000
Hydraulic Shearing,AHM-825,Max Ret,3,mm,3300000
Hydraulic Shearing,AHM-825,Nominal Angle,16500,degree,3300000
Hydraulic Shearing,AHM-825,Back Gauge,123,mm,3300000
Hydraulic Shearing,AHM-825,Motor,20,HP,3300000
Hydraulic Shearing,AHM-825,Overall Dimensions,3300 x 2350 x 2600 x 7500,mm,3300000
Hydraulic Shearing,AHM-840,Cutting Length,4000,mm,4800000
Hydraulic Shearing,AHM-840,Cutting Capacity MS,8,mm,4800000
Hydraulic Shearing,AHM-840,Cutting Capacity SS,10,mm,4800000
Hydraulic Shearing,AHM-840,Stroke/Minute,2-1.3,SPM,4800000
Hydraulic Shearing,AHM-840,Max Ret,3,mm,4800000
Hydraulic Shearing,AHM-840,Nominal Angle,23000,degree,4800000
Hydraulic Shearing,AHM-840,Back Gauge,123,mm,4800000
Hydraulic Shearing,AHM-840,Motor,18,HP,4800000
Hydraulic Shearing,AHM-840,Overall Dimensions,4800 x 2360 x 2800 x 12500,mm,4800000
Hydraulic Shearing,AHM-1020,Cutting Length,2030,mm,2750000
Hydraulic Shearing,AHM-1020,Cutting Capacity MS,10,mm,2750000
Hydraulic Shearing,AHM-1020,Cutting Capacity SS,13,mm,2750000
Hydraulic Shearing,AHM-1020,Stroke/Minute,2-1.3,SPM,2750000
Hydraulic Shearing,AHM-1020,Max Ret,3,mm,2750000
Hydraulic Shearing,AHM-1020,Nominal Angle,13000,degree,2750000
Hydraulic Shearing,AHM-1020,Back Gauge,123,mm,2750000
Hydraulic Shearing,AHM-1020,Motor,18,HP,2750000
Hydraulic Shearing,AHM-1020,Overall Dimensions,2750 x 2050 x 2300 x 6000,mm,2750000
Hydraulic Shearing,AHM-1030,Cutting Length,3125,mm,3800000
Hydraulic Shearing,AHM-1030,Cutting Capacity MS,10,mm,3800000
Hydraulic Shearing,AHM-1030,Cutting Capacity SS,13,mm,3800000
Hydraulic Shearing,AHM-1030,Stroke/Minute,2-1.3,SPM,3800000
Hydraulic Shearing,AHM-1030,Max Ret,3,mm,3800000
Hydraulic Shearing,AHM-1030,Nominal Angle,20000,degree,3800000
Hydraulic Shearing,AHM-1030,Back Gauge,123,mm,3800000
Hydraulic Shearing,AHM-1030,Motor,12,HP,3800000
